City,Item,Price
Mumbai,Veg Thali (local restaurant)per plate,₹150
Mumbai,Non-Veg Thali (local restaurant)per plate,₹220
Mumbai,Meal for Two (high-end restaurant)per meal,"₹1,800"
Mumbai,Chai (regular cup)per cup,₹15
Mumbai,Coffee (Cappuccino)per cup,₹200
Mumbai,Specialty Coffee (Third Wave)per cup,₹300
Mumbai,Street Food (Vada Pav / Samosa)per piece,₹20
Mumbai,Biryani (chicken)per plate,₹250
Mumbai,Dosa (plain)per plate,₹80
Mumbai,Fast Food Combo (McDonald's)per meal,₹250
Mumbai,"Soft Drink (Coca-Cola, 300ml)per bottle",₹40
Mumbai,Bottled Water (1 litre)per bottle,₹20
Mumbai,Rice (Basmati)1 kg,₹110
Mumbai,Wheat Flour (Atta)1 kg,₹55
Mumbai,Toor Dal1 kg,₹160
Mumbai,Milk (Full Cream)1 litre,₹62
Mumbai,Eggs12 pcs,₹84
Mumbai,Chicken1 kg,₹280
Mumbai,Paneer1 kg,₹400
Mumbai,Onions1 kg,₹40
Mumbai,Tomatoes1 kg,₹50
Mumbai,Potatoes1 kg,₹35
Mumbai,Cooking Oil (Sunflower)1 litre,₹160
Mumbai,Sugar1 kg,₹48
Mumbai,Apples (Shimla)1 kg,₹200
Mumbai,Bananas1 dozen,₹60
Mumbai,"Bread (White, Sliced)1 loaf",₹50
Mumbai,Whey Protein (1 kg)per kg,"₹3,000"
Mumbai,Auto Rickshaw (minimum fare)per ride,₹23
Mumbai,Auto Rickshaw (per km after min)per km,₹16
Mumbai,Metro / Local Train (monthly pass)per month,"₹1,500"
Mumbai,Bus (monthly pass)per month,₹900
Mumbai,Ola/Uber (avg ride)per ride,₹200
Mumbai,Petrol1 litre,₹105
Mumbai,Diesel1 litre,₹92
Mumbai,Two Wheeler EMI (avg)per month,"₹3,500"
Mumbai,Car EMI (avg)per month,"₹15,000"
Mumbai,Electricityper month,"₹2,500"
Mumbai,Water Billper month,₹500
Mumbai,Cooking Gas (LPG Cylinder)per cylinder,₹803
Mumbai,Broadband Internetper month,₹850
Mumbai,Mobile Plan (Jio/Airtel)per month,₹349
Mumbai,1 BHK in City Centreper month,"₹65,000"
Mumbai,1 BHK Outside City Centreper month,"₹35,000"
Mumbai,2 BHK in City Centreper month,₹1.1L
Mumbai,2 BHK Outside City Centreper month,"₹55,000"
Mumbai,3 BHK in City Centreper month,₹1.6L
Mumbai,3 BHK Outside City Centreper month,"₹75,000"
Mumbai,Home Loan EMI (2BHK avg)per month,"₹83,000"
Mumbai,PG - Private Room (with meals)per month,"₹18,000"
Mumbai,PG - Private Room (without meals)per month,"₹14,000"
Mumbai,PG - Double Sharing (with meals)per month,"₹12,000"
Mumbai,PG - Double Sharing (without meals)per month,"₹9,000"
Mumbai,PG - Triple Sharing (with meals)per month,"₹9,000"
Mumbai,PG - Triple Sharing (without meals)per month,"₹7,000"
Mumbai,"Cook (part-time, 2 meals/day)per month","₹8,000"
Mumbai,Maid / Cleaning Helpper month,"₹3,000"
Mumbai,Laundry / Ironing (dhobi)per month,"₹1,500"
Mumbai,Miscellaneous Monthly Spendper month,"₹3,000"
Mumbai,Men's Casual Shirt (Zara/H&M)per piece,"₹2,500"
Mumbai,Women's Dress (Myntra/Zara)per piece,"₹2,000"
Mumbai,Running Shoes (Nike/Adidas)per pair,"₹5,500"
Mumbai,Skincare Basics (Nykaa avg)per month,"₹1,200"
Mumbai,Amazon Prime Membershipper month,₹149
Mumbai,Gym Membershipper month,"₹2,500"
Mumbai,Movie Ticket (Multiplex)per ticket,₹300
Mumbai,Netflix (Standard Plan)per month,₹649
Mumbai,Spotify Premiumper month,₹119
Mumbai,"Haircut (Men, basic salon)per cut",₹200
Mumbai,"Domestic Beer (pint, restaurant)per pint",₹250
Mumbai,"Imported Beer (bottle, restaurant)per bottle",₹450
Delhi,Veg Thali (local restaurant)per plate,₹120
Delhi,Non-Veg Thali (local restaurant)per plate,₹200
Delhi,Meal for Two (high-end restaurant)per meal,"₹1,600"
Delhi,Chai (regular cup)per cup,₹15
Delhi,Coffee (Cappuccino)per cup,₹190
Delhi,Specialty Coffee (Third Wave)per cup,₹280
Delhi,Street Food (Vada Pav / Samosa)per piece,₹15
Delhi,Biryani (chicken)per plate,₹220
Delhi,Dosa (plain)per plate,₹70
Delhi,Fast Food Combo (McDonald's)per meal,₹250
Delhi,"Soft Drink (Coca-Cola, 300ml)per bottle",₹40
Delhi,Bottled Water (1 litre)per bottle,₹20
Delhi,Rice (Basmati)1 kg,₹100
Delhi,Wheat Flour (Atta)1 kg,₹50
Delhi,Toor Dal1 kg,₹155
Delhi,Milk (Full Cream)1 litre,₹60
Delhi,Eggs12 pcs,₹78
Delhi,Chicken1 kg,₹250
Delhi,Paneer1 kg,₹380
Delhi,Onions1 kg,₹35
Delhi,Tomatoes1 kg,₹45
Delhi,Potatoes1 kg,₹30
Delhi,Cooking Oil (Sunflower)1 litre,₹155
Delhi,Sugar1 kg,₹46
Delhi,Apples (Shimla)1 kg,₹180
Delhi,Bananas1 dozen,₹50
Delhi,"Bread (White, Sliced)1 loaf",₹45
Delhi,Whey Protein (1 kg)per kg,"₹3,000"
Delhi,Auto Rickshaw (minimum fare)per ride,₹25
Delhi,Auto Rickshaw (per km after min)per km,₹11
Delhi,Metro / Local Train (monthly pass)per month,"₹1,250"
Delhi,Bus (monthly pass)per month,₹800
Delhi,Ola/Uber (avg ride)per ride,₹200
Delhi,Petrol1 litre,₹95
Delhi,Diesel1 litre,₹88
Delhi,Two Wheeler EMI (avg)per month,"₹3,500"
Delhi,Car EMI (avg)per month,"₹15,000"
Delhi,Electricityper month,"₹2,200"
Delhi,Water Billper month,₹400
Delhi,Cooking Gas (LPG Cylinder)per cylinder,₹803
Delhi,Broadband Internetper month,₹850
Delhi,Mobile Plan (Jio/Airtel)per month,₹349
Delhi,Air Purifier Filters & Masks (NCR)per month,₹800
Delhi,1 BHK in City Centreper month,"₹22,000"
Delhi,1 BHK Outside City Centreper month,"₹12,000"
Delhi,2 BHK in City Centreper month,"₹40,000"
Delhi,2 BHK Outside City Centreper month,"₹22,000"
Delhi,3 BHK in City Centreper month,"₹70,000"
Delhi,3 BHK Outside City Centreper month,"₹35,000"
Delhi,Home Loan EMI (2BHK avg)per month,"₹59,000"
Delhi,PG - Private Room (with meals)per month,"₹15,000"
Delhi,PG - Private Room (without meals)per month,"₹11,000"
Delhi,PG - Double Sharing (with meals)per month,"₹10,000"
Delhi,PG - Double Sharing (without meals)per month,"₹7,500"
Delhi,PG - Triple Sharing (with meals)per month,"₹7,500"
Delhi,PG - Triple Sharing (without meals)per month,"₹5,500"
Delhi,"Cook (part-time, 2 meals/day)per month","₹7,000"
Delhi,Maid / Cleaning Helpper month,"₹2,500"
Delhi,Laundry / Ironing (dhobi)per month,"₹1,200"
Delhi,Miscellaneous Monthly Spendper month,"₹2,500"
Delhi,Gym Membershipper month,"₹2,000"
Delhi,Movie Ticket (Multiplex)per ticket,₹280
Delhi,Netflix (Standard Plan)per month,₹649
Delhi,Spotify Premiumper month,₹119
Delhi,"Haircut (Men, basic salon)per cut",₹150
Delhi,"Domestic Beer (pint, restaurant)per pint",₹220
Delhi,"Imported Beer (bottle, restaurant)per bottle",₹400
Bangalore,Veg Thali (local restaurant)per plate,₹130
Bangalore,Non-Veg Thali (local restaurant)per plate,₹200
Bangalore,Meal for Two (high-end restaurant)per meal,"₹1,500"
Bangalore,Chai (regular cup)per cup,₹15
Bangalore,Coffee (Cappuccino)per cup,₹200
Bangalore,Specialty Coffee (Third Wave)per cup,₹300
Bangalore,Street Food (Vada Pav / Samosa)per piece,₹20
Bangalore,Biryani (chicken)per plate,₹220
Bangalore,Dosa (plain)per plate,₹60
Bangalore,Fast Food Combo (McDonald's)per meal,₹250
Bangalore,"Soft Drink (Coca-Cola, 300ml)per bottle",₹40
Bangalore,Bottled Water (1 litre)per bottle,₹20
Bangalore,Rice (Basmati)1 kg,₹105
Bangalore,Wheat Flour (Atta)1 kg,₹52
Bangalore,Toor Dal1 kg,₹155
Bangalore,Milk (Full Cream)1 litre,₹56
Bangalore,Eggs12 pcs,₹78
Bangalore,Chicken1 kg,₹240
Bangalore,Paneer1 kg,₹380
Bangalore,Onions1 kg,₹38
Bangalore,Tomatoes1 kg,₹45
Bangalore,Potatoes1 kg,₹35
Bangalore,Cooking Oil (Sunflower)1 litre,₹155
Bangalore,Sugar1 kg,₹46
Bangalore,Apples (Shimla)1 kg,₹200
Bangalore,Bananas1 dozen,₹50
Bangalore,"Bread (White, Sliced)1 loaf",₹45
Bangalore,Whey Protein (1 kg)per kg,"₹3,000"
Bangalore,Auto Rickshaw (minimum fare)per ride,₹30
Bangalore,Auto Rickshaw (per km after min)per km,₹15
Bangalore,Metro / Local Train (monthly pass)per month,"₹1,400"
Bangalore,Bus (monthly pass)per month,"₹1,350"
Bangalore,Ola/Uber (avg ride)per ride,₹200
Bangalore,Petrol1 litre,₹103
